Image,Points,Trajectories,Nuclei,Probabillity
1,51305,34689,0,0.4
10,27989,23220,0,0.25
11,32584,26589,0,0.3
12,35517,25756,0,0.45
13,39377,28855,0,0.4
14,15959,13090,0,0.27
2,38343,22449,0,0.4
3,41407,27625,0,0.35
4,28236,21870,0,0.22
5,13869,5722,0,0.7
6,35124,22561,0,0.5
7,29005,21717,0,0.35
9,39801,26316,0,0.5
